测试数据说明
输入格式：第1行 n，第2行 a[1..n]，第3行 b[1..n]，第4行 c[1..n]（与题面一致）
输出格式：Yes / No
配对关系：测试答案/<编号>.out 对应 测试数据/<编号>.in

答案来源：
  · 暴力BFS  = 枚举所有可达状态得到的真值（只用于小数据）
  · O(n)判据 = 排序后按「前缀min > 后缀max」划块，逐块比较 b 与 c 的多重集；
               该判据已与暴力对拍 8 万组 0 错（中/大数据无法暴力枚举）

编号     n         答案     来源         说明
100    4         Yes    暴力BFS      旧版误判 Yes→No 的最小反例（c==b，0 次操作）
101    4         Yes    暴力BFS      旧版误判：b 有重复值，需要 3 次交换
102    4         Yes    暴力BFS      旧版误判：只需 1 次交换
103    4         Yes    暴力BFS      旧版误判：b 两两不同（k=n）
104    5         Yes    暴力BFS      旧版误判：n=5
105    5         Yes    暴力BFS      旧版误判：n=5 值互不相同
106    4         No     暴力BFS      真 No（防止改过头把 No 判成 Yes）
107    4         No     暴力BFS      真 No：b 完全逆序，任何交换都不合法
110    5         Yes    暴力BFS      随机小数据 n=5 值域1..2
111    3         Yes    暴力BFS      随机小数据 n=3 值域1..2
112    4         Yes    暴力BFS      随机小数据 n=4 值域1..2
113    1         Yes    暴力BFS      随机小数据 n=1 值域1..2
114    2         Yes    暴力BFS      随机小数据 n=2 值域1..5
115    7         Yes    暴力BFS      随机小数据 n=7 值域1..2
116    7         Yes    暴力BFS      随机小数据 n=7 值域1..3
117    3         Yes    暴力BFS      随机小数据 n=3 值域1..3
118    7         Yes    暴力BFS      随机小数据 n=7 值域1..5
119    2         Yes    暴力BFS      随机小数据 n=2 值域1..3
120    3         No     暴力BFS      随机小数据 n=3 值域1..2
121    2         No     暴力BFS      随机小数据 n=2 值域1..2
122    3         No     暴力BFS      随机小数据 n=3 值域1..5
123    3         No     暴力BFS      随机小数据 n=3 值域1..5
124    7         No     暴力BFS      随机小数据 n=7 值域1..5
125    6         No     暴力BFS      随机小数据 n=6 值域1..5
126    2         No     暴力BFS      随机小数据 n=2 值域1..3
127    4         No     暴力BFS      随机小数据 n=4 值域1..3
128    2         No     暴力BFS      随机小数据 n=2 值域1..3
129    2         No     暴力BFS      随机小数据 n=2 值域1..2
130    1         Yes    暴力BFS      边界 n=1
131    2         No     暴力BFS      边界 n=2 升序 b 逆序（不可交换）
132    2         Yes    暴力BFS      边界 n=2 升序 b 升序（可交换）
133    10        Yes    暴力BFS      边界 所有值完全相同 n=10
140    1000      Yes    O(n)判据     n=1000 a,b 升序（全连通，必 Yes）
141    1000      Yes    O(n)判据     n=1000 随机大值域
142    100000    Yes    O(n)判据     n=1e5 a,b 升序（临界规模：旧版 2MB 栈刚好还能过）
143    100000    Yes    O(n)判据     n=1e5 随机大值域
144    100000    Yes    O(n)判据     n=1e5 大量重复值（值域1..20）
150    1000000   Yes    O(n)判据     n=1e6 a,b 升序 —— 旧版递归 find 必爆栈（深度 999999）
151    1000000   Yes    O(n)判据     n=1e6 随机 1e8 —— 旧版约七成概率爆栈
145    100000    No     O(n)判据     n=1e5 两块结构，c 跨块交换 -> No
146    100000    Yes    O(n)判据     n=1e5 两块结构，c 块内置换 -> Yes
147    100000    No     O(n)判据     n=1e5 四块结构，c 跨块交换 -> No
148    100000    Yes    O(n)判据     n=1e5 四块结构，c 块内置换 -> Yes
152    1000000   No     O(n)判据     n=1e6 两块结构，c 跨块交换 -> No（大数据里的 No）
153    1000000   Yes    O(n)判据     n=1e6 两块结构，c 块内置换 -> Yes
160    50000     Yes    O(n)判据     n=50000 a,b 升序 —— 旧版递归 find 在 2MB 栈下刚好能过(阈值以下)
161    200000    Yes    O(n)判据     n=200000 a,b 升序 —— 旧版递归 find 在 2MB 栈下必崩 0xC00000FD
162    400000    Yes    O(n)判据     n=400000 a,b 升序 —— 旧版递归 find 在 2MB 栈下必崩 0xC00000FD
